customer_id,age,region,signup_date,acquisition_channel,acquisition_campaign_id
CUST000131,50,North,2025-01-30,Email,CAMP02
CUST000132,50,Central,2024-11-13,Email,CAMP10
CUST000133,23,South,2024-06-29,Social Media,CAMP22
CUST000134,50,East,2022-06-14,Email,CAMP01
CUST000135,64,Central,2022-02-11,Paid Search,CAMP18
CUST000136,35,East,2022-06-29,Paid Search,CAMP18
CUST000137,52,West,2022-08-04,Social Media,CAMP20
CUST000138,19,West,2022-10-31,Organic,
CUST000139,38,West,2024-11-02,Organic,
CUST000140,43,West,2024-08-14,Paid Search,CAMP18
CUST000141,74,South,2022-09-11,Organic,
CUST000142,30,South,2022-03-30,Email,CAMP03
CUST000143,34,West,2024-08-26,Social Media,CAMP24
CUST000144,41,East,2021-05-16,Email,CAMP05
CUST000145,75,East,2023-11-01,Paid Search,CAMP12
CUST000146,67,South,2022-04-19,Social Media,CAMP25
CUST000147,20,North,2023-12-19,Organic,
CUST000148,31,East,2023-04-19,Organic,
CUST000149,65,Central,2021-05-09,Organic,
CUST000150,21,South,2022-08-06,Organic,
CUST000151,67,South,2023-07-08,Email,CAMP05
CUST000152,34,North,2024-08-07,Organic,
CUST000153,71,East,2025-08-10,Social Media,CAMP25
CUST000154,35,South,2021-05-22,Paid Search,CAMP14
CUST000155,43,West,2024-07-01,Paid Search,CAMP18
CUST000156,56,North,2024-04-12,Social Media,CAMP25
CUST000157,25,South,2021-01-12,Paid Search,CAMP14
CUST000158,50,North,2022-07-28,Organic,
CUST000159,47,North,2021-09-11,Organic,
CUST000160,63,West,2021-12-02,Organic,
CUST000161,75,Central,2022-08-28,Paid Search,CAMP13
CUST000162,56,West,2022-03-02,Organic,
CUST000163,41,Central,2024-01-18,Social Media,CAMP24
CUST000164,41,North,2021-12-29,Email,CAMP09
CUST000165,42,Central,2021-09-26,Email,CAMP01
CUST000166,65,East,2025-04-22,Email,CAMP08
CUST000167,36,West,2023-08-16,Email,CAMP02
CUST000168,27,East,2022-06-24,Organic,
CUST000169,37,South,2025-02-11,Email,CAMP02
CUST000170,19,South,2025-01-24,Organic,
CUST000171,24,North,2021-01-17,Email,CAMP01
CUST000172,23,South,2022-06-14,Organic,
CUST000173,62,East,2023-09-13,Paid Search,CAMP17
CUST000174,59,Central,2021-01-07,Email,CAMP07
CUST000175,58,North,2024-05-18,Email,CAMP05
CUST000176,44,East,2021-01-13,Email,CAMP03
CUST000177,59,East,2025-12-03,Email,CAMP09
CUST000178,27,North,2022-11-03,Social Media,CAMP25
CUST000179,70,South,2023-09-03,Email,CAMP10
CUST000180,47,East,2025-04-09,Paid Search,CAMP15
CUST000181,72,East,2023-10-07,Organic,
CUST000182,26,North,2023-12-17,Social Media,CAMP24
CUST000183,46,North,2025-10-14,Social Media,CAMP23
CUST000184,58,South,2024-05-25,Email,CAMP06
CUST000185,46,West,2023-01-15,Organic,
CUST000186,43,West,2023-01-28,Social Media,CAMP19
CUST000187,27,North,2024-03-29,Email,CAMP08
CUST000188,40,East,2022-05-18,Organic,
CUST000189,31,Central,2021-01-04,Social Media,CAMP20
CUST000190,35,North,2024-03-20,Email,CAMP01
CUST000191,57,North,2024-04-22,Social Media,CAMP23
CUST000192,54,North,2023-11-25,Organic,
CUST000193,53,North,2022-07-21,Social Media,CAMP21
CUST000194,38,West,2021-03-05,Organic,
CUST000195,73,West,2021-12-16,Organic,
CUST000196,23,East,2023-10-07,Organic,
CUST000197,37,South,2021-02-28,Email,CAMP07
CUST000198,24,West,2024-02-26,Paid Search,CAMP12
CUST000199,37,North,2021-12-06,Paid Search,CAMP14
CUST000200,73,North,2022-11-04,Social Media,CAMP23
CUST000201,39,North,2025-12-08,Social Media,CAMP25
CUST000202,70,Central,2022-09-17,Paid Search,CAMP13
CUST000203,46,West,2023-01-06,Organic,
CUST000204,58,East,2024-12-08,Organic,
CUST000205,44,West,2021-05-03,Email,CAMP05
CUST000206,33,North,2022-11-09,Paid Search,CAMP12
CUST000207,62,South,2023-06-04,Email,CAMP08
CUST000208,74,West,2022-06-08,Social Media,CAMP25
CUST000209,33,Central,2025-12-01,Organic,
CUST000210,63,East,2024-12-03,Social Media,CAMP20
CUST000211,33,North,2021-04-16,Paid Search,CAMP18
CUST000212,59,Central,2025-12-04,Organic,
CUST000213,63,South,2022-01-01,Organic,
CUST000214,44,South,2021-12-04,Organic,
CUST000215,60,North,2024-09-28,Social Media,CAMP22
CUST000216,33,North,2022-11-23,Email,CAMP02
CUST000217,22,East,2021-03-13,Social Media,CAMP22
CUST000218,23,East,2021-01-05,Social Media,CAMP19
CUST000219,43,North,2024-07-02,Organic,
CUST000220,70,North,2023-06-06,Organic,
CUST000221,25,East,2023-05-09,Email,CAMP10
CUST000222,44,East,2022-06-01,Social Media,CAMP22
CUST000223,58,South,2022-01-27,Paid Search,CAMP14
CUST000224,29,North,2025-02-16,Paid Search,CAMP16
CUST000225,59,Central,2023-03-04,Organic,
CUST000226,35,Central,2025-07-31,Email,CAMP09
CUST000227,64,South,2023-11-30,Email,CAMP04
CUST000228,51,West,2021-08-01,Paid Search,CAMP14
CUST000229,49,Central,2023-02-18,Paid Search,CAMP13
CUST000230,28,North,2025-04-27,Organic,
CUST000231,44,Central,2021-05-16,Social Media,CAMP24
CUST000232,67,East,2022-01-28,Social Media,CAMP22
CUST000233,19,East,2023-07-08,Social Media,CAMP23
CUST000234,61,East,2022-07-17,Email,CAMP02
CUST000235,46,South,2024-01-22,Paid Search,CAMP18
CUST000236,59,West,2025-06-06,Social Media,CAMP23
CUST000237,56,West,2024-07-12,Organic,
CUST000238,43,North,2022-10-29,Email,CAMP04
CUST000239,35,East,2025-02-04,Email,CAMP08
CUST000240,54,Central,2021-01-31,Email,CAMP01
CUST000241,26,Central,2024-10-04,Organic,
CUST000242,51,East,2021-04-05,Paid Search,CAMP18
CUST000243,23,North,2021-11-29,Organic,
CUST000244,55,South,2022-09-09,Social Media,CAMP20
CUST000245,54,North,2021-09-04,Organic,
CUST000246,22,West,2025-06-03,Organic,
CUST000247,61,West,2024-03-13,Email,CAMP05
CUST000248,42,Central,2021-06-11,Email,CAMP01
CUST000249,63,North,2024-07-24,Social Media,CAMP25
CUST000250,20,Central,2021-12-24,Email,CAMP08
CUST000251,28,Central,2024-09-20,Social Media,CAMP25
CUST000252,46,West,2025-11-02,Email,CAMP01
CUST000253,28,Central,2021-04-25,Organic,
CUST000254,37,East,2023-01-22,Paid Search,CAMP12
CUST000255,56,South,2024-03-03,Social Media,CAMP25
CUST000256,26,North,2025-05-13,Social Media,CAMP21
CUST000257,57,North,2024-04-12,Organic,
CUST000258,23,North,2022-12-02,Organic,
CUST000259,28,West,2021-04-02,Social Media,CAMP21
CUST000260,52,South,2023-08-05,Paid Search,CAMP11
CUST000261,64,North,2023-03-18,Paid Search,CAMP14
CUST000262,27,North,2025-09-26,Paid Search,CAMP14
CUST000263,35,West,2023-07-08,Paid Search,CAMP11
CUST000264,71,Central,2025-10-13,Organic,
CUST000265,75,South,2023-10-25,Paid Search,CAMP15
CUST000266,51,West,2021-10-30,Social Media,CAMP20
CUST000267,43,Central,2021-06-01,Email,CAMP07
CUST000268,38,West,2024-05-20,Organic,
CUST000269,53,West,2021-12-10,Organic,
CUST000270,52,East,2023-02-14,Social Media,CAMP19
CUST000271,35,Central,2024-06-15,Organic,
CUST000272,19,South,2021-10-01,Organic,
CUST000273,26,West,2021-07-28,Email,CAMP04
CUST000274,73,South,2021-02-17,Organic,
CUST000275,42,North,2022-08-06,Paid Search,CAMP18
CUST000276,45,West,2023-07-17,Email,CAMP10
CUST000277,45,West,2023-01-03,Organic,
CUST000278,63,Central,2021-06-21,Email,CAMP03
CUST000279,21,Central,2023-10-25,Social Media,CAMP25
CUST000280,22,West,2025-09-10,Organic,
CUST000281,33,East,2022-02-23,Organic,
CUST000282,46,Central,2022-04-02,Organic,
CUST000283,56,North,2021-03-28,Organic,
CUST000284,46,North,2023-03-15,Paid Search,CAMP17
CUST000285,43,East,2021-10-14,Organic,
CUST000286,72,East,2024-08-19,Email,CAMP06
CUST000287,27,West,2023-11-13,Email,CAMP06
CUST000288,51,West,2023-07-17,Email,CAMP08
CUST000289,49,North,2021-06-11,Social Media,CAMP19
CUST000290,45,West,2022-11-21,Email,CAMP08
CUST000291,64,East,2023-10-20,Email,CAMP04
CUST000292,33,Central,2024-02-24,Paid Search,CAMP17
CUST000293,73,South,2025-11-09,Paid Search,CAMP18
CUST000294,37,East,2021-12-27,Email,CAMP01
CUST000295,49,West,2025-06-27,Email,CAMP08
CUST000296,48,East,2023-06-16,Email,CAMP08
CUST000297,67,North,2023-03-12,Email,CAMP07
CUST000298,43,North,2025-10-25,Paid Search,CAMP11
CUST000299,34,North,2022-05-28,Paid Search,CAMP14
CUST000300,19,East,2024-12-03,Organic,
CUST000301,39,East,2023-10-15,Paid Search,CAMP12
CUST000302,65,East,2022-09-04,Paid Search,CAMP18
CUST000303,18,West,2022-04-07,Paid Search,CAMP11
CUST000304,69,North,2025-07-25,Email,CAMP04
CUST000305,49,North,2024-12-01,Email,CAMP09
CUST000306,26,West,2025-05-17,Organic,
CUST000307,35,West,2024-10-31,Paid Search,CAMP18
CUST000308,50,West,2022-05-11,Organic,
CUST000309,36,West,2025-06-18,Social Media,CAMP21
CUST000310,24,Central,2025-09-02,Paid Search,CAMP18
CUST000311,56,Central,2024-11-15,Organic,
CUST000312,56,East,2023-06-06,Email,CAMP10
CUST000313,24,South,2023-08-02,Organic,
CUST000314,34,North,2025-08-31,Paid Search,CAMP15
CUST000315,32,East,2022-09-09,Social Media,CAMP19
CUST000316,56,East,2023-10-01,Organic,
CUST000317,60,North,2025-07-19,Paid Search,CAMP16
CUST000318,60,North,2021-06-26,Email,CAMP04
CUST000319,72,Central,2023-11-09,Social Media,CAMP22
CUST000320,62,North,2021-09-12,Social Media,CAMP25
CUST000321,36,West,2025-04-04,Email,CAMP07
CUST000322,24,Central,2023-06-29,Organic,
CUST000323,53,West,2023-10-18,Social Media,CAMP21
CUST000324,71,North,2021-02-15,Social Media,CAMP24
CUST000325,74,Central,2021-02-25,Paid Search,CAMP11
CUST000326,31,East,2024-11-04,Email,CAMP07
CUST000327,31,South,2025-10-20,Email,CAMP03
CUST000328,20,East,2022-07-16,Social Media,CAMP23
CUST000329,26,North,2024-01-06,Organic,
CUST000330,50,West,2021-02-27,Social Media,CAMP21
CUST000331,49,Central,2021-07-24,Paid Search,CAMP13
CUST000332,39,East,2024-03-30,Organic,
CUST000333,35,Central,2022-03-16,Paid Search,CAMP17
CUST000334,66,East,2024-01-11,Social Media,CAMP24
CUST000335,44,Central,2024-08-05,Paid Search,CAMP18
CUST000336,64,West,2021-08-20,Social Media,CAMP21
CUST000337,73,North,2024-05-26,Social Media,CAMP19
CUST000338,36,Central,2021-11-27,Organic,
CUST000339,29,Central,2023-03-02,Paid Search,CAMP15
CUST000340,73,South,2024-09-19,Paid Search,CAMP18
CUST000341,54,West,2023-05-03,Email,CAMP04
CUST000342,34,North,2021-10-03,Social Media,CAMP19
CUST000343,54,North,2024-09-19,Organic,
CUST000344,47,North,2021-01-12,Organic,
CUST000345,70,East,2025-12-03,Paid Search,CAMP11
CUST000346,32,North,2025-12-31,Paid Search,CAMP18
CUST000347,75,North,2025-04-28,Email,CAMP08
CUST000348,72,Central,2022-06-14,Organic,
CUST000349,28,East,2021-03-17,Email,CAMP07
CUST000350,27,West,2025-06-16,Social Media,CAMP19
CUST000351,48,North,2024-07-09,Social Media,CAMP19
CUST000352,20,North,2023-01-27,Social Media,CAMP19
CUST000353,35,West,2022-02-28,Social Media,CAMP22
CUST000354,43,South,2025-10-25,Paid Search,CAMP18
CUST000355,74,East,2022-12-30,Paid Search,CAMP17
CUST000356,75,Central,2023-02-24,Social Media,CAMP25
CUST000357,26,South,2024-12-22,Organic,
CUST000358,69,East,2024-09-30,Paid Search,CAMP18
CUST000359,23,East,2022-12-31,Paid Search,CAMP13
CUST000360,61,North,2025-10-30,Email,CAMP09
CUST000361,67,West,2023-05-01,Social Media,CAMP25
CUST000362,69,East,2022-05-31,Organic,
CUST000363,30,North,2021-12-23,Paid Search,CAMP17
CUST000364,69,East,2021-02-24,Email,CAMP10
CUST000365,24,East,2021-05-25,Paid Search,CAMP13
CUST000366,48,East,2023-03-31,Paid Search,CAMP14
CUST000367,45,Central,2025-11-24,Email,CAMP05
CUST000368,36,West,2024-10-22,Social Media,CAMP23
CUST000369,19,South,2021-11-27,Social Media,CAMP23
CUST000370,62,Central,2023-10-27,Email,CAMP08
CUST000371,37,West,2022-12-30,Paid Search,CAMP16
CUST000372,56,North,2025-03-06,Social Media,CAMP19
CUST000373,41,North,2022-04-10,Organic,
CUST000374,39,North,2022-05-03,Email,CAMP09
CUST000375,69,North,2024-06-12,Organic,
CUST000376,23,East,2021-05-05,Email,CAMP09
CUST000377,60,South,2022-05-28,Paid Search,CAMP11
CUST000378,61,Central,2022-02-08,Organic,
CUST000379,40,East,2023-02-18,Organic,
CUST000380,33,North,2022-02-22,Social Media,CAMP22
CUST000381,18,Central,2025-02-28,Email,CAMP06
CUST000382,72,East,2022-09-05,Paid Search,CAMP13
CUST000383,72,North,2022-10-14,Email,CAMP04
CUST000384,31,North,2022-07-24,Paid Search,CAMP12
CUST000385,19,West,2023-02-15,Paid Search,CAMP15
CUST000386,25,East,2022-03-04,Organic,
CUST000387,21,East,2024-08-31,Email,CAMP10
CUST000388,66,Central,2021-08-11,Organic,
CUST000389,69,West,2021-06-07,Paid Search,CAMP16
CUST000390,26,Central,2023-08-11,Organic,
CUST000391,61,West,2023-06-06,Email,CAMP10
CUST000392,28,West,2024-07-23,Paid Search,CAMP11
CUST000393,39,North,2021-06-24,Paid Search,CAMP15
CUST000394,52,East,2025-07-17,Social Media,CAMP20
CUST000395,59,East,2023-12-04,Social Media,CAMP21
CUST000396,68,East,2022-05-19,Organic,
CUST000397,20,South,2024-10-27,Email,CAMP09
CUST000398,29,East,2024-04-21,Organic,
CUST000399,34,South,2025-07-19,Email,CAMP07
CUST000400,35,East,2023-08-22,Paid Search,CAMP11
CUST000401,75,South,2024-06-15,Email,CAMP05
CUST000402,63,Central,2025-06-02,Paid Search,CAMP12
CUST000403,36,South,2025-02-17,Social Media,CAMP24
CUST000404,74,West,2024-06-23,Paid Search,CAMP18
CUST000405,46,East,2022-11-25,Organic,
CUST000406,47,South,2021-12-01,Social Media,CAMP22
CUST000407,43,West,2021-02-28,Paid Search,CAMP12
CUST000408,26,Central,2022-05-02,Organic,
CUST000409,72,West,2023-05-09,Organic,
CUST000410,18,Central,2024-02-15,Organic,
CUST000411,28,East,2021-12-16,Paid Search,CAMP17
CUST000412,31,Central,2024-10-03,Organic,
CUST000413,34,Central,2025-05-04,Email,CAMP08
CUST000414,25,West,2021-05-24,Organic,
CUST000415,19,West,2025-04-17,Paid Search,CAMP14
CUST000416,57,West,2024-03-26,Email,CAMP06
CUST000417,74,East,2021-05-11,Organic,
CUST000418,25,East,2021-11-08,Organic,
CUST000419,35,South,2024-09-27,Social Media,CAMP20
CUST000420,47,West,2025-09-18,Paid Search,CAMP18
CUST000421,71,South,2024-09-13,Organic,
CUST000422,58,West,2025-10-26,Email,CAMP04
CUST000423,62,East,2022-10-27,Organic,
CUST000424,51,South,2025-04-18,Social Media,CAMP19
CUST000425,42,North,2025-04-21,Social Media,CAMP20
CUST000426,29,South,2025-04-21,Social Media,CAMP24
CUST000427,68,East,2021-01-28,Email,CAMP05
CUST000428,64,South,2025-10-22,Email,CAMP06
CUST000429,19,North,2023-08-12,Social Media,CAMP21
CUST000430,59,South,2022-06-07,Paid Search,CAMP17
CUST000431,22,South,2024-10-07,Email,CAMP04
CUST000432,60,North,2023-08-13,Social Media,CAMP24
CUST000433,65,South,2022-11-24,Paid Search,CAMP12
CUST000434,25,West,2021-09-02,Paid Search,CAMP11
CUST000435,43,West,2025-01-09,Social Media,CAMP21
CUST000436,25,Central,2023-04-13,Email,CAMP01
CUST000437,50,North,2024-01-23,Organic,
CUST000438,71,South,2021-07-11,Email,CAMP08
CUST000439,22,North,2022-05-11,Organic,
CUST000440,41,East,2024-06-16,Paid Search,CAMP18
CUST000441,74,North,2022-06-21,Social Media,CAMP22
CUST000442,35,North,2021-05-19,Social Media,CAMP19
CUST000443,25,East,2022-06-09,Paid Search,CAMP13
CUST000444,46,South,2025-04-19,Organic,
CUST000445,47,East,2025-10-16,Email,CAMP06
CUST000446,56,East,2025-04-04,Organic,
CUST000447,36,West,2022-11-15,Organic,
CUST000448,73,South,2025-10-30,Organic,
CUST000449,48,South,2025-03-14,Organic,
CUST000450,34,East,2021-02-19,Email,CAMP01
CUST000451,73,North,2022-10-13,Organic,
CUST000452,71,North,2025-02-03,Social Media,CAMP23
CUST000453,46,East,2021-11-27,Social Media,CAMP20
CUST000454,19,North,2022-06-19,Email,CAMP06
CUST000455,52,North,2025-11-03,Email,CAMP04
CUST000456,50,West,2021-12-24,Email,CAMP05
CUST000457,26,West,2024-09-04,Email,CAMP05
CUST000458,54,North,2024-10-02,Paid Search,CAMP16
CUST000459,66,East,2022-05-02,Organic,
CUST000460,24,Central,2021-08-08,Social Media,CAMP19
CUST000461,59,South,2021-07-08,Email,CAMP10
CUST000462,26,West,2025-05-19,Organic,
CUST000463,61,North,2022-03-14,Social Media,CAMP22
CUST000464,42,Central,2025-05-18,Email,CAMP04
CUST000465,18,North,2023-07-11,Paid Search,CAMP12
CUST000466,74,South,2023-10-13,Email,CAMP01
CUST000467,27,Central,2024-04-24,Paid Search,CAMP12
CUST000468,52,West,2023-02-11,Email,CAMP06
CUST000469,28,North,2025-10-03,Social Media,CAMP25
CUST000470,72,West,2025-06-13,Social Media,CAMP24
CUST000471,60,Central,2024-04-25,Paid Search,CAMP15
CUST000472,64,East,2024-07-24,Social Media,CAMP24
CUST000473,43,North,2024-07-31,Organic,
CUST000474,45,South,2021-02-28,Social Media,CAMP19
CUST000475,54,Central,2022-05-15,Email,CAMP03
CUST000476,63,North,2023-01-23,Organic,
CUST000477,67,South,2021-09-10,Email,CAMP08
CUST000478,19,North,2023-02-24,Paid Search,CAMP14
CUST000479,56,North,2024-04-04,Organic,
CUST000480,24,East,2025-04-13,Paid Search,CAMP13
CUST000481,34,South,2024-09-30,Organic,
CUST000482,66,North,2025-05-31,Social Media,CAMP22
CUST000483,32,North,2024-05-12,Social Media,CAMP22
CUST000484,64,North,2023-09-20,Paid Search,CAMP11
CUST000485,44,North,2024-01-08,Organic,
CUST000486,31,North,2021-07-24,Paid Search,CAMP14
CUST000487,37,West,2025-01-15,Paid Search,CAMP18
CUST000488,48,North,2024-01-18,Paid Search,CAMP13
CUST000489,62,South,2024-08-16,Email,CAMP09
CUST000490,53,East,2023-04-21,Email,CAMP05
CUST000491,72,West,2024-12-14,Email,CAMP08
CUST000492,68,West,2023-02-12,Social Media,CAMP20
CUST000493,61,Central,2025-04-08,Email,CAMP09
CUST000494,52,South,2025-12-03,Social Media,CAMP23
CUST000495,34,North,2021-11-08,Organic,
CUST000496,41,North,2025-12-24,Email,CAMP10
CUST000497,24,North,2024-12-21,Email,CAMP07
CUST000498,39,Central,2023-01-18,Organic,
CUST000499,71,East,2023-09-13,Organic,
CUST000500,42,West,2025-09-03,Organic,
CUST000501,24,Central,2023-07-27,Paid Search,CAMP16
CUST000502,55,Central,2022-03-23,Paid Search,CAMP11
CUST000503,73,South,2024-02-02,Email,CAMP10
CUST000504,68,Central,2021-12-20,Paid Search,CAMP18
CUST000505,33,East,2022-12-12,Paid Search,CAMP12
CUST000506,44,North,2024-04-14,Organic,
CUST000507,48,East,2023-12-05,Organic,
CUST000508,32,Central,2023-07-03,Paid Search,CAMP12
CUST000509,33,West,2021-09-14,Organic,
CUST000510,31,South,2024-09-23,Organic,
CUST000511,75,Central,2022-04-02,Organic,
CUST000512,61,East,2021-07-20,Organic,
CUST000513,66,West,2022-05-23,Email,CAMP02
CUST000514,65,South,2023-05-31,Paid Search,CAMP11
CUST000515,73,North,2021-04-29,Organic,
CUST000516,24,South,2024-05-29,Social Media,CAMP25
CUST000517,69,Central,2024-06-17,Email,CAMP03
CUST000518,21,Central,2023-07-04,Social Media,CAMP21
CUST000519,45,South,2023-04-30,Organic,
CUST000520,52,North,2022-06-07,Paid Search,CAMP18
CUST000521,38,North,2023-05-10,Social Media,CAMP22
CUST000522,26,West,2023-07-04,Paid Search,CAMP12
CUST000523,29,East,2023-12-19,Organic,
CUST000524,65,East,2023-12-05,Email,CAMP02
CUST000525,36,North,2022-04-02,Paid Search,CAMP12
CUST000526,35,North,2023-10-02,Paid Search,CAMP18
CUST000527,71,Central,2022-11-27,Social Media,CAMP23
CUST000528,26,East,2023-10-31,Email,CAMP07
CUST000529,71,North,2024-05-06,Email,CAMP08
CUST000530,71,North,2023-03-20,Organic,
CUST000531,52,South,2022-09-17,Email,CAMP10
